[13:35:45] Requirement Extraction Log
------------------------------------------------------------------------
[13:35:45] Started attachment search.
[13:35:45] Scan progress 0/1: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | direct query
[13:35:46] Scan progress 0/1: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | item scan
[13:35:59] Scan progress 1/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 0% complete | 0 attachments found
[13:35:59] Scan progress 5/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 0% complete | 0 attachments found
[13:36:00] Scan progress 9/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 0% complete | 0 attachments found
[13:36:00] Scan progress 13/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 0% complete | 0 attachments found
[13:36:01] Scan progress 17/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 1% complete | 0 attachments found
[13:36:02] Scan progress 21/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 1% complete | 0 attachments found
[13:36:02] Scan progress 25/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 1% complete | 0 attachments found
[13:36:03] Scan progress 28/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 2% complete | 3 attachments found
[13:36:03] Scan progress 31/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 2% complete | 4 attachments found
[13:36:04] Scan progress 32/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 2% complete | 5 attachments found
[13:36:05] Scan progress 35/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 2% complete | 5 attachments found
[13:36:05] Scan progress 39/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 2% complete | 5 attachments found
[13:36:06] Scan progress 43/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 3% complete | 5 attachments found
[13:36:07] Scan progress 47/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 3% complete | 5 attachments found
[13:36:07] Scan progress 51/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 3% complete | 5 attachments found
[13:36:08] Scan progress 55/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 4% complete | 5 attachments found
[13:36:08] Scan progress 59/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 4% complete | 5 attachments found
[13:36:09] Scan progress 63/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 4% complete | 5 attachments found
[13:36:10] Scan progress 67/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 4% complete | 5 attachments found
[13:36:10] Scan progress 71/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 5% complete | 5 attachments found
[13:36:11] Scan progress 75/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 5% complete | 5 attachments found
[13:36:11] Scan progress 79/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 5% complete | 5 attachments found
[13:36:12] Scan progress 83/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 6% complete | 5 attachments found
[13:36:13] Scan progress 87/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 6% complete | 5 attachments found
[13:36:13] Scan progress 91/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 6% complete | 5 attachments found
[13:36:14] Scan progress 95/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 7% complete | 5 attachments found
[13:36:14] Scan progress 99/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 7% complete | 5 attachments found
[13:36:15] Scan progress 103/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 7% complete | 5 attachments found
[13:36:16] Scan progress 107/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 7% complete | 5 attachments found
[13:36:16] Scan progress 110/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 8% complete | 5 attachments found
[13:36:17] Scan progress 114/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 8% complete | 5 attachments found
[13:36:17] Scan progress 118/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 8% complete | 5 attachments found
[13:36:18] Scan progress 120/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 8% complete | 5 attachments found
[13:36:19] Scan progress 124/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 9% complete | 5 attachments found
[13:36:19] Scan progress 128/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 9% complete | 5 attachments found
[13:36:20] Scan progress 132/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 9% complete | 5 attachments found
[13:36:20] Scan progress 136/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 10% complete | 5 attachments found
[13:36:21] Scan progress 140/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 10% complete | 5 attachments found
[13:36:22] Scan progress 144/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 10% complete | 5 attachments found
[13:36:22] Scan progress 148/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 10% complete | 5 attachments found
[13:36:23] Scan progress 152/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 11% complete | 5 attachments found
[13:36:23] Scan progress 156/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 11% complete | 5 attachments found
[13:36:24] Scan progress 160/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 11% complete | 5 attachments found
[13:36:25] Scan progress 164/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 12% complete | 5 attachments found
[13:36:25] Scan progress 168/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 12% complete | 5 attachments found
[13:36:26] Scan progress 172/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 12% complete | 5 attachments found
[13:36:26] Scan progress 175/1347: Searching QAI-2518_MFD268C4B Test Solutions Define_Top-Level Test Solution for attachments | 12% complete | 5 attachments found
